GPSLatitude,GPSLongitude,GPSAltitude,CreateDate
58.64993489,-134.208138,1133.1,2021:07:15 12:26:13
58.64991047,-134.2081706,1124.4,2021:07:15 12:26:16
58.64991047,-134.2081868,1126.1,2021:07:15 12:26:19
58.64991861,-134.2081868,1132,2021:07:15 12:26:22
58.64995931,-134.2081706,1139.9,2021:07:15 12:26:25
58.64994303,-134.208138,1139.8,2021:07:15 12:26:28
58.64982094,-134.2082031,1128.4,2021:07:15 12:26:31
58.64978839,-134.2082031,1125.7,2021:07:15 12:26:34
58.64974769,-134.2082357,1123.6,2021:07:15 12:26:37
58.64972331,-134.2082519,1122.7,2021:07:15 12:26:40
58.64969889,-134.2082357,1122.2,2021:07:15 12:26:43
58.64967447,-134.2082519,1122.8,2021:07:15 12:26:46
58.64986164,-134.2083821,1136.7,2021:07:15 12:26:49
58.64991861,-134.2083984,1143.4,2021:07:15 12:26:52
58.64991861,-134.2083821,1146.4,2021:07:15 12:26:55
58.64991861,-134.2083659,1147.6,2021:07:15 12:26:58
58.64992675,-134.2083171,1152.8,2021:07:15 12:27:01
58.64997558,-134.2082357,1168.6,2021:07:15 12:27:04
58.64998372,-134.2081054,1171.1,2021:07:15 12:27:07
58.65000811,-134.2079915,1173,2021:07:15 12:27:10
58.65004881,-134.2079101,1179.5,2021:07:15 12:27:13
58.6500895,-134.2078288,1185.5,2021:07:15 12:27:16
58.65013833,-134.2077474,1191.7,2021:07:15 12:27:19
58.65015461,-134.207666,1193,2021:07:15 12:27:22
58.65018717,-134.2076334,1192.9,2021:07:15 12:27:25
58.65022786,-134.2076009,1191.2,2021:07:15 12:27:28
58.65006508,-134.2075683,1158,2021:07:15 12:27:31
58.65013833,-134.2075358,1151.5,2021:07:15 12:27:34
58.65020344,-134.2075033,1146.7,2021:07:15 12:27:37
58.65024414,-134.2074219,1143.1,2021:07:15 12:27:40
58.650236,-134.2073893,1142.8,2021:07:15 12:27:43
58.65027667,-134.2072916,1143.3,2021:07:15 12:27:46
58.65030108,-134.2072428,1144.5,2021:07:15 12:27:49
58.65029294,-134.207194,1144.9,2021:07:15 12:27:52
58.65030922,-134.2071126,1145.5,2021:07:15 12:27:55
58.65033364,-134.2070963,1146.2,2021:07:15 12:27:58
58.65034992,-134.2070638,1146.4,2021:07:15 12:28:01
58.65036619,-134.2070313,1146.8,2021:07:15 12:28:04
